street,city,state,zip
96 Shirley St.,Tualatin,OR,97062
9032 Fairground St.,Brighton,MA,2135
93 Wild Rose Ave.,Chester,PA,19013
9461 Mechanic St.,Avon,IN,46123
31 Arlington Lane,Miamisburg,OH,45342
49 W. Valley View Ave.,Villa Rica,GA,30180
389 Rockaway Avenue,Fullerton,CA,92831
159 South Arrowhead St.,Matthews,NC,28104
71 N. 6th Street,Saint Albans,NY,11412
104 Bridle Street,East Elmhurst,NY,11369
737 Oxford Drive,Tallahassee,FL,32303
501 University Dr.,Astoria,NY,11102
84 Walt Whitman Ave.,Mocksville,NC,27028
546 W. Queen Lane,Abingdon,MD,21009
8380 East Westminster Drive,Menasha,WI,54952
88 Longfellow Ave.,Prattville,AL,36067
93 Queen St.,Rockville,MD,20850
8140 W. Fremont St.,Summerville,SC,29483
5 West Helen Lane,Colorado Springs,CO,80911
49 SW. Courtland Street,Roanoke Rapids,NC,27870
574 Mammoth Road,Manchester,NH,3102
704 Thatcher Street,Ozone Park,NY,11417
773 Harvard St.,Amsterdam,NY,12010
73 Arnold Street,Aiken,SC,29803
119 East Linden St.,Hopkinsville,KY,42240
9254 Circle Ave.,Medina,OH,44256
105 Glenholme St.,Fairborn,OH,45324
561 S. Fieldstone Ave.,Muskegon,MI,49441
1 Pulaski Ave.,Hamburg,NY,14075
989 S. Livingston Drive,Merrillville,IN,46410
302 Gartner Street,Atlantic City,NJ,8401
7 Linden Rd.,Butte,MT,59701
7059 N. Carpenter St.,Shepherdsville,KY,40165
734 Rockcrest Drive,Sioux Falls,SD,57103
8511 Cedar Swamp Drive,Franklin Square,NY,11010
380 Pilgrim St.,Cantonment,FL,32533
8710 Armstrong Avenue,Chicago Heights,IL,60411
534 High Ave.,Beverly,MA,1915
9735 Warren Ave.,Arlington,MA,2474
8823 Hill Field Dr.,Anderson,SC,29621
922 Tallwood Dr.,Hudsonville,MI,49426
476 Philmont Road,Webster,NY,14580
77 Newport Street,Port Richey,FL,34668
6 S. Foxrun St.,Baton Rouge,LA,70806
845 Prairie Ave.,Crofton,MD,21114
8164 San Juan Drive,Williamstown,NJ,8094
373 North Grandrose Ave.,Emporia,KS,66801
7522 Sierra St.,Springfield Gardens,NY,11413
7191 W. Euclid Drive,Johnston,RI,2919
900 West Manor Ave.,Centereach,NY,11720